customer_id,account_age_days,prior_successful_txns,prior_chargebacks,known_device_count
CUST_00141,108,0,0,2
CUST_00142,613,9,0,4
CUST_00143,175,5,0,3
CUST_00144,296,5,0,2
CUST_00145,200,2,0,1
CUST_00146,286,6,1,2
CUST_00147,179,4,0,4
CUST_00148,232,6,0,2
CUST_00149,10,0,0,3
CUST_00150,603,16,0,2
CUST_00151,953,20,0,4
CUST_00152,220,2,0,4
CUST_00153,1293,27,0,3
CUST_00154,63,2,0,4
CUST_00155,1058,18,0,3
CUST_00156,138,6,0,2
CUST_00157,254,9,0,3
CUST_00158,926,16,0,4
CUST_00159,48,0,0,4
CUST_00160,72,4,0,1
CUST_00161,510,9,0,3
CUST_00162,373,8,0,1
CUST_00163,109,2,0,3
CUST_00164,168,2,0,3
CUST_00165,284,6,0,2
CUST_00166,721,13,0,4
CUST_00167,136,4,0,4
CUST_00168,290,9,0,1
CUST_00169,134,2,0,1
CUST_00170,115,3,0,1
CUST_00171,810,15,0,4
CUST_00172,211,8,0,3
CUST_00173,508,18,0,3
CUST_00174,115,2,0,4
CUST_00175,70,1,0,4
CUST_00176,434,10,1,1
CUST_00177,538,15,0,1
CUST_00178,361,9,0,2
CUST_00179,451,10,0,2
CUST_00180,387,5,0,3
CUST_00181,414,11,0,1
CUST_00182,856,17,0,2
CUST_00183,1072,26,0,1
CUST_00184,251,5,0,1
CUST_00185,34,1,1,1
CUST_00186,533,5,0,1
CUST_00187,321,7,0,3
CUST_00188,927,23,0,2
CUST_00189,396,11,0,2
CUST_00190,53,1,0,2
CUST_00191,398,13,0,3
CUST_00192,217,4,0,4
CUST_00193,43,0,0,3
CUST_00194,104,3,0,3
CUST_00195,1320,32,0,3
CUST_00196,153,2,0,3
CUST_00197,98,3,0,1
CUST_00198,168,5,0,4
CUST_00199,785,20,0,1
CUST_00200,413,18,0,2
CUST_00201,75,2,0,3
CUST_00202,3,0,0,2
CUST_00203,166,3,0,1
CUST_00204,57,0,0,4
CUST_00205,785,13,0,1
CUST_00206,40,0,0,1
CUST_00207,260,7,0,4
CUST_00208,386,8,0,3
CUST_00209,1090,31,0,1
CUST_00210,110,2,0,4
CUST_00211,659,14,0,4
CUST_00212,290,10,0,1
CUST_00213,657,14,1,2
CUST_00214,136,6,0,2
CUST_00215,126,4,0,1
CUST_00216,96,1,0,1
CUST_00217,396,4,0,1
CUST_00218,246,5,0,1
CUST_00219,329,8,0,2
CUST_00220,487,13,0,2
CUST_00221,438,7,2,1
CUST_00222,397,9,0,2
CUST_00223,531,8,0,1
CUST_00224,13,0,0,4
